,技能名稱,預設,主手裝備,副手裝備,身體裝備,效果編號,效果類別名稱,屬性名稱,屬性值,屬性追加,消耗MP,射程,類型,連擊,動作時間,詠唱/蓄力時間,屬性值-英文,屬性值-日文,屬性值-簡中
,,,,,,,,ailment_name,翻覆,,,,,,,,Tumble,,翻覆
,,,,,,,,ailment_chance,40+SLv*5,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,,,,
,,,,,,2,extra,condition,處於魔能調節狀態時,,,,,,,,While under Mana Adjust state,,处于魔能调节状态时
,,,,,,,,caption,翻覆機率大幅降低（約35%）；傷害將變為原先的${SLv*10}%。,,,,,,,,Tumble chance: ${(SLv*7)*0.1}%; damage decreases to ${SLv*10}% ,,翻覆机率大幅降低（约35%）；伤害将变为原先的${SLv*10}%。
,,,,,,-,text,text,施放成功後，獲得魔能調節狀態。,,,,,,,,Gains buff: Mana Adjust after casting.,,施放成功后，获得魔能调节状态。
,,,,,,,,branch,魔能調節,,,,,,,,Mana Adjust,,魔能调节
,,,,,,-,next,name,魔能調節,,,,,,,,Mana Adjust,,魔能调节
,,,,,,,,caption,#[MP消耗減半]。,,,,,,,,#[MP cost halves].,,#[MP消耗减半]。
,,,,,,,,buffs,mp_cost_half,,,,,,,,,,
3,,非預設,魔導具,魔導具,,1,,multiplier,SLv*25+250,,,,,,,,,,
,,,,,,,,ailment_chance,15+SLv*5,,,,,,,,,,
,,,,,,2,,caption,翻覆機率大幅降低（約10%）；傷害將變為原先的${SLv*10}%。,,,,,,,,Tumble chance: ${(SLv*7)*0.1}%; damage decreases to ${SLv*10}% ,,翻覆机率大幅降低（约10%）；伤害将变为原先的${SLv*10}%。
3,,非預設,,,,1,,ailment_chance,15+SLv*5,,,,,,,,,,
,,,,,,2,,caption,翻覆機率大幅降低（約10%）；傷害將變為原先的${SLv*10}%。,,,,,,,,Tumble chance: ${(SLv*7)*0.1}%; damage decreases to ${SLv*10}% ,,翻覆机率大幅降低（约10%）；伤害将变为原先的${SLv*10}%。
4,法術/終結,預設,法杖,,,-,text,text,詠唱完畢後，以目標位置為中心，延遲0.5秒後發出三段範圍傷害，每段的傷害將越來越低但範圍越來越大。,,1600,12,須詠唱,可以放入連擊,極慢,13-SLv,"After casting, deal damage to the target by a 3 hit AoE after 0.5 second delay. Damage declines per hit, while the effect area expands at the same time.",,咏唱完毕后，以目标位置为中心，延迟0.5秒后发出三段范围伤害，每段的伤害将越来越低但范围越来越大。
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,-,proration,damage,magic,,,,,,,,,,
,,,,,,3,damage,name,第一段,,,,,,,,first hit,,第一段
,,,,,,,,constant,SLv*300,,,,,,,,,,
,,,,,,,,multiplier,3750+$BINT,,,,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,,,,
,,,,,,,,type,AOE,,,,,,,,,,
,,,,,,,,radius,0.5,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,,,element,neutral,,,,,,,,,,
,,,,,,,,action_frame,~178,,,,,,,,,,
,,,,,,4,damage,name,第二段,,,,,,,,second hit,,第二段
,,,,,,,,constant,SLv*30,,,,,,,,,,
,,,,,,,,multiplier,2000,,,,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,,,,
,,,,,,,,type,AOE,,,,,,,,,,
,,,,,,,,radius,4,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,,,element,neutral,,,,,,,,,,
,,,,,,5,damage,name,第三段,,,,,,,,third hit,,第三段
,,,,,,,,constant,SLv*3,,,,,,,,,,
,,,,,,,,multiplier,1000,,,,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,,,,
,,,,,,,,radius,10,,,,,,,,,,
,,,,,,,,type,AOE,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,,,element,neutral,,,,,,,,,,
,,,,,,,,,,,,,,,,,This skill's element is fixed to neutral. ,,
,,,,,,7,list,text,此技能的詠唱時間可受詠唱速度影響，最多通過詠唱速度縮短1秒。,,,,,,,,The casting time is not affected by CSPD.,,此技能的咏唱时间可受咏唱速度影响，最多通过咏唱速度缩短1秒。
,,,,,,-,list,text,此技能的詠唱過程，每秒會對鎖定目標產生![100]的額外仇恨值。此額外仇恨值不受仇恨值增減效果影響。,,,,,,,,Generates ![100] aggro to the target per second  while casting. This aggro is not affected by aggro% stat.,,此技能的咏唱过程，每秒会对锁定目标产生![100]的额外仇恨值。此额外仇恨值不受仇恨值增减效果影响。
,,,,,,6,list,text,詠唱速度將會減少額外仇恨值，減少幅度與詠唱時間的計算方式相同。,,,,,,,,CSPD affects additional aggro's amount. The reduction is calculated in the same way as the casting time.,,咏唱速度将会减少额外仇恨值，减少幅度与咏唱时间的计算方式相同。
,,,,,,-,tips,text,即CSPD1000以內，每20減少1%，1000以上每180減少1%。,,,,,,,,"It means that for the part with CSPD≦1000, every 20 CSPD will reduce aggro by 1%. And for the part with CSPD>1000, every 180 CSPD will reduce aggro by 1%.",,即CSPD1000以内，每20减少1%，1000以上每180减少1%。
,,,,,,-,list,text,僅當副手裝備盾牌時，於詠唱此技能期間受到攻擊，且該攻擊並非#[隕石][怪物攻擊類型]或#[地面類型][怪物攻擊類型]傷害，將可觸發詠唱阻擋，該類#[阻擋][阻擋（玩家）]的減傷與異常抗性效果減半，但其餘阻擋所附帶的效果均有。,,,,,,,,,,仅当副手装备盾牌时，于咏唱此技能期间受到攻击，且该攻击并非#[陨石][怪物攻击类型]或#[地面类型][怪物攻击类型]伤害，将可触发咏唱阻挡，该类#[阻挡][阻挡（玩家）]的减伤与异常抗性效果减半，但其余阻挡所附带的效果均有。
,,,,,,,,mark,盾牌,,,,,,,,,,盾牌
4,,非預設,魔導具,魔導具,,3,,multiplier,3000+$BINT,,,,,,,,,,
,,,,,,,,radius,2,,,,,,,,,,
,,,,,,4,,radius,8,,,,,,,,,,
,,,,,,5,,radius,20,,,,,,,,,,
4,,非預設,,,,3,,multiplier,3000,,,,,,,,,,
4,,歷史紀錄,0,2020/12/10,,-,text,text,技能傷害受距離威力、遠程狙擊影響。,,,,,,,,,,技能伤害受距离威力、远程狙击影响。
,,,,,,3,,range_damage,0,,,,,,,,,,
,,,,,,4,,range_damage,0,,,,,,,,,,
,,,,,,5,,range_damage,0,,,,,,,,,,
4,,歷史紀錄,0,2019/06/24,,-,text,text,技能傷害大幅提升。,,,,,,,,,,技能伤害大幅提升。
,,,,,,3,,multiplier,1750+100*SLv+$BINT,,,,,,,,,,
,,,,,,4,,multiplier,Math.floor((1000+200*SLv)/3),,,,,,,,,,
,,,,,,5,,multiplier,Math.floor((500+100*SLv)/3),,,,,,,,,,
4,,歷史紀錄,0,2019/02/21,,-,text,text,第一段傷害提升，第二、三段傷害大幅下降、額外仇恨受CSPD影響。,,,,,,,,,,第一段伤害提升，第二、三段伤害大幅下降、额外仇恨受CSPD影响。
,,,,,,3,,multiplier,1500+100*SLv,,,,,,,,,,
,,,,,,4,,constant,300*SLv,,,,,,,,,,
,,,,,,5,,constant,300*SLv,,,,,,,,,,
,,,,,,6,,text,無此效果。,,,,,,,,,,无此效果。
4,,歷史紀錄,1,2020/12/10,,-,text,text,技能傷害受距離威力、遠程狙擊影響。,,,,,,,,,,技能伤害受距离威力、远程狙击影响。
,,,,,,3,,range_damage,0,,,,,,,,,,
,,,,,,4,,range_damage,0,,,,,,,,,,
,,,,,,5,,range_damage,0,,,,,,,,,,
4,,歷史紀錄,1,2019/06/24,,-,text,text,技能傷害大幅提升。,,,,,,,,,,技能伤害大幅提升。
,,,,,,3,,multiplier,750+100*SLv+$BINT,,,,,,,,,,
,,,,,,4,,multiplier,Math.floor((1000+200*SLv)/3),,,,,,,,,,
,,,,,,5,,multiplier,Math.floor((500+100*SLv)/3),,,,,,,,,,
4,,歷史紀錄,1,2019/02/21,,-,text,text,第一段範圍提升，第二、三段傷害大幅下降、額外仇恨受CSPD影響。,,,,,,,,,,第一段范围提升，第二、三段伤害大幅下降、额外仇恨受CSPD影响。
,,,,,,3,,multiplier,500+100*SLv+$BINT,,,,,,,,,,
,,,,,,,,radius,1,,,,,,,,,,
,,,,,,4,,constant,300*SLv,,,,,,,,,,
,,,,,,5,,constant,300*SLv,,,,,,,,,,
,,,,,,6,,text,無此效果。,,,,,,,,,,无此效果。
4,,歷史紀錄,2,2020/12/10,,-,text,text,技能傷害受距離威力、遠程狙擊影響。,,,,,,,,,,技能伤害受距离威力、远程狙击影响。
,,,,,,3,,range_damage,0,,,,,,,,,,
,,,,,,4,,range_damage,0,,,,,,,,,,
,,,,,,5,,range_damage,0,,,,,,,,,,
4,,歷史紀錄,2,2019/06/24,,-,text,text,技能傷害大幅提升。,,,,,,,,,,技能伤害大幅提升。
,,,,,,3,,multiplier,750+100*SLv,,,,,,,,,,
,,,,,,4,,multiplier,Math.floor((1000+200*SLv)/3),,,,,,,,,,
,,,,,,5,,multiplier,Math.floor((500+100*SLv)/3),,,,,,,,,,
4,,歷史紀錄,2,2019/02/21,,-,text,text,第一段傷害提升，第二、三段傷害大幅下降、額外仇恨受CSPD影響。,,,,,,,,,,第一段伤害提升，第二、三段伤害大幅下降、额外仇恨受CSPD影响。
,,,,,,3,,multiplier,500+100*SLv,,,,,,,,,,
,,,,,,4,,constant,300*SLv,,,,,,,,,,
,,,,,,5,,constant,300*SLv,,,,,,,,,,
,,,,,,6,,text,無此效果。,,,,,,,,,,无此效果。
4,,歷史紀錄,3,2026/04/30,,7,list,text,此技能的詠唱時間不受詠唱速度影響。,,,,,,,,,,
5,法術/障壁,預設,法杖,,,-,text,text,詠唱完畢後，以自身為中心放置一個障壁，對範圍內所有敵人造成持續傷害。,,200,-,須詠唱,可以放入連擊,,1,Summon a wall at the feet after casting. Deals damage to all of the monsters inside the wall.,,咏唱完毕后，以自身为中心放置一个障壁，对范围内所有敌人造成持续伤害。
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,-,proration,damage,magic,,,,,,,,,,
,,,,,,1,damage,constant,100+SLv*2,,,,,,,,,,
,,,,,,,,multiplier,110+SLv*4+$BINT*0.1,,,,,,,,,,
,,,,,,,,multiplier.registlet,RLv*5,,,,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,,,,
,,,,,,,,title,each,,,,,,,,,,
,,,,,,,,type,AOE,,,,,,,,,,
,,,,,,,,radius,2,,,,,,,,,,
,,,,,,,,end_position,self,,,,,,,,,,
,,,,,,,,is_place,1,,,,,,,,,,
,,,,,,,,judgment,separate,,,,,,,,,,
,,,,,,,,frequency,Math.floor((SLv-1)/2)+6,,,,,,,,,,
,,,,,,,,duration,Math.floor((SLv-1)/2)+6,,,,,,,,,,
,,,,,,,,cycle,1,,,,,,,,,,
,,,,,,,,ailment_name,逼退,,,,,,,,Knock Back,,逼退
,,,,,,,,ailment_chance,100,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,,,action_frame,122~73,,,,,,,,,,
,,,,,,-,tips,text,各屬性下的技能名稱,,,,,,,,,,各属性下的技能名称
,,,,,,-,group,size,1,,,,,,,,,,
,,,,,,-,list,text,無屬性｜法術/障壁｜,,,,,,,,,,无属性｜法术/障壁｜
,,,,,,-,list,text,火屬性｜火炎壁｜,,,,,,,,,,火属性｜火炎壁｜
,,,,,,-,list,text,水屬性｜水波壁｜,,,,,,,,,,水属性｜水波壁｜
,,,,,,-,list,text,地屬性｜震地牢籠｜,,,,,,,,,,地属性｜震地牢笼｜
,,,,,,-,list,text,風屬性｜暴風地帶｜,,,,,,,,,,风属性｜暴风地带｜
,,,,,,-,list,text,光屬性｜光之限界｜,,,,,,,,,,光属性｜光之限界｜
,,,,,,-,list,text,暗屬性｜惡靈之門｜,,,,,,,,,,暗属性｜恶灵之门｜
5,,非預設,魔導具,魔導具,,1,,multiplier,80+SLv*4+$BINT*0.1,,,,,,,,,,
,,,,,,,,radius,3,,,,,,,,,,
5,,非預設,,,,1,,multiplier,80+SLv*4+$BINT*0.1,,,,,,,,,,
5,,歷史紀錄,0,2019/06/24,,1,,constant,25+SLv,,,,,,,,,,
5,,歷史紀錄,0,2020/12/10,,-,text,text,技能傷害受距離威力、遠程狙擊影響。,,,,,,,,,,技能伤害受距离威力、远程狙击影响。
,,,,,,1,,range_damage,0,,,,,,,,,,
5,,歷史紀錄,0,2025/04/24,,1,,multiplier,110+SLv*4,,,,,,,,,,
5,,歷史紀錄,1,2020/12/10,,-,text,text,技能傷害受距離威力、遠程狙擊影響。,,,,,,,,,,技能伤害受距离威力、远程狙击影响。
,,,,,,1,,range_damage,0,,,,,,,,,,
5,,歷史紀錄,1,2019/06/24,,1,,constant,25+SLv,,,,,,,,,,
5,,歷史紀錄,1,2025/04/24,,1,,multiplier,80+SLv*4,,,,,,,,,,
5,,歷史紀錄,2,2020/12/10,,-,text,text,技能傷害受距離威力、遠程狙擊影響。,,,,,,,,,,技能伤害受距离威力、远程狙击影响。
,,,,,,1,,range_damage,0,,,,,,,,,,
5,,歷史紀錄,2,2019/06/24,,1,,constant,25+SLv,,,,,,,,,,
5,,歷史紀錄,2,2025/04/24,,1,,multiplier,80+SLv*4,,,,,,,,,,
6,法術/引爆,預設,法杖,,,-,proration,damage,magic,,300,8,須詠唱,可以放入連擊,,4,,,
,,,,,,1,damage,constant,180+SLv*20,,,,,,,,,,
,,,,,,,,multiplier,850+SLv*30+$INT*0.2,,,,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,,,,
,,,,,,,,type,AOE,,,,,,,,,,
,,,,,,,,radius,2,,,,,,,,,,
,,,,,,,,ailment_name,異常（根據屬性）,,,,,,,,Based on skill element,,异常（根据属性）
,,,,,,,,ailment_chance,SLv*5,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,,,action_frame,122~73,,,,,,,,,,
,,,,,,-,tips,text,各屬性下的技能名稱與附加的異常狀態,,,,,,,,Element | Skill Name | Ailment,,各属性下的技能名称与附加的异常状态
,,,,,,-,group,size,1,,,,,,,,,,
,,,,,,-,list,text,無屬性｜法術/引爆｜#[膽怯],,,,,,,,Neutral | Magic: Blast | #[Flinch],,无属性｜法术/引爆｜#[胆怯]
,,,,,,-,list,text,火屬性｜煉獄真火｜#[著火],,,,,,,,Fire | Explosion | #[Ignite],,火属性｜炼狱真火｜#[着火]
,,,,,,-,list,text,水屬性｜絕對零度｜#[冰凍],,,,,,,,Water | Absolute Zero | #[Freeze],,水属性｜绝对零度｜#[冰冻]
,,,,,,-,list,text,地屬性｜崩天裂地｜#[遲緩],,,,,,,,Earth| Geo Impact | #[Slow],,地属性｜崩天裂地｜#[迟缓]
,,,,,,-,list,text,風屬性｜疾風氣旋｜#[盲目],,,,,,,,Wind | Aero BLast | #[Blind],,风属性｜疾风气旋｜#[盲目]
,,,,,,-,list,text,光屬性｜爆破閃光｜#[眩暈],,,,,,,,Light | Shining Blast | #[Dizzy],,光属性｜爆破闪光｜#[眩晕]
,,,,,,-,list,text,暗屬性｜惡魔的呢喃｜#[畏懼],,,,,,,,Dark | Evil Blast |＃Fear ,,暗属性｜恶魔的呢喃｜#[畏惧]
,,,,,,,basic,casting_time.registlet,-0.2*RLv,,,,,,,,,,
6,,非預設,魔導具,魔導具,,1,,multiplier,700+SLv*30+$INT*0.2,,,,,,,,,,
,,,,,,,,radius,4,,,,,,,,,,
,,,,,,,,ailment_chance,SLv*5+50,,,,,,,,,,
6,,非預設,,,,1,,multiplier,700+SLv*30,,,,,,,,,,
6,,歷史紀錄,0,2019/06/24,,1,,multiplier,350+SLv*45,,,,,,,,,,
6,,歷史紀錄,1,2019/06/24,,1,,multiplier,250+SLv*45,,,,,,,,,,
6,,歷史紀錄,2,2019/06/24,,1,,multiplier,250+SLv*45,,,,,,,,,,
7,法術/暴風,預設,法杖,,,-,proration,damage,magic,,400,8,須詠唱,可以放入連擊,,1,,,
,,,,,,1,damage,constant,420,,,,,,,,,,
,,,,,,,,multiplier,280+SLv*2,,,,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,,,,
,,,,,,,,title,each,,,,,,,,,,
,,,,,,,,type,AOE,,,,,,,,,,
,,,,,,,,radius,1.75+Math.floor(SLv/4),,,,,,,,,,
,,,,,,,,frequency,1+Math.floor(SLv/2),,,,,,,,,,
,,,,,,,,duration,1+Math.floor(SLv/2),,,,,,,,,,
,,,,,,,,cycle,1,,,,,,,,,,
,,,,,,,,judgment,separate,,,,,,,,,,
,,,,,,,,is_place,1,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,,,action_frame,122~73,,,,,,,,,,
,,,,,,-,text,text,初次造成傷害時，會使範圍內的敵人被拉至技能中心。 BOSS等強大目標免疫此效果。,,,,,,,,The monsters would be pulled to the middle of the storm while they get hit by the storm first time.,,初次造成伤害时，会使范围内的敌人被拉至技能中心。 BOSS等强大目标免疫此效果。
,,,,,,-,tips,text,各屬性下的技能名稱,,,,,,,,,,各属性下的技能名称
,,,,,,-,group,size,1,,,,,,,,,,
,,,,,,-,list,text,無屬性｜法術/暴風 ｜,,,,,,,,,,无属性｜法术/暴风 ｜
,,,,,,-,list,text,火屬性｜烈焰風暴｜,,,,,,,,,,火属性｜烈焰风暴｜
,,,,,,-,list,text,水屬性｜冰雪凍天｜,,,,,,,,,,水属性｜冰雪冻天｜
,,,,,,-,list,text,地屬性｜漫天沙塵｜,,,,,,,,,,地属性｜漫天沙尘｜
,,,,,,-,list,text,風屬性｜雷霆萬鈞｜,,,,,,,,,,风属性｜雷霆万钧｜
,,,,,,-,list,text,光屬性｜光之漩渦｜ ,,,,,,,,,,光属性｜光之漩涡｜ 
,,,,,,-,list,text,暗屬性｜惡靈饗宴｜,,,,,,,,,,暗属性｜恶灵飨宴｜
7,,非預設,魔導具,魔導具,,1,,multiplier,180+SLv*2,,,,,,,,,,
,,,,,,,,radius,3.75+Math.floor(SLv/4),,,,,,,,,,
7,,非預設,,,,1,,multiplier,180+SLv*2,,,,,,,,,,
7,,歷史紀錄,0,2020/12/10,,-,text,text,技能傷害受距離威力、遠程狙擊影響。,,,,,,,,,,技能伤害受距离威力、远程狙击影响。
,,,,,,1,,range_damage,0,,,,,,,,,,
7,,歷史紀錄,1,2020/12/10,,-,text,text,技能傷害受距離威力、遠程狙擊影響。,,,,,,,,,,技能伤害受距离威力、远程狙击影响。
,,,,,,1,,range_damage,0,,,,,,,,,,
7,,歷史紀錄,2,2020/12/10,,-,text,text,技能傷害受距離威力、遠程狙擊影響。,,,,,,,,,,技能伤害受距离威力、远程狙击影响。
,,,,,,1,,range_damage,0,,,,,,,,,,
7,,歷史紀錄,0,2024/04/18,,1,,constant,50+SLv*3,,,,,,,,,,
7,,歷史紀錄,1,2024/04/18,,1,,constant,50+SLv*3,,,,,,,,,,
7,,歷史紀錄,2,2024/04/18,,1,,constant,50+SLv*3,,,,,,,,,,
7,,歷史紀錄,0,2025/04/24,,1,,constant,400,,,,,,,,,,
7,,歷史紀錄,1,2025/04/24,,1,,constant,400,,,,,,,,,,
7,,歷史紀錄,2,2025/04/24,,1,,constant,400,,,,,,,,,,
8,法術/爆能,預設,法杖,,,-,proration,damage,magic,,500,8,須詠唱,可以放入連擊,,8,,,
,,,,,,1,damage,constant,200+SLv*30,,,,,,,,,,
,,,,,,,,multiplier,1500+60*SLv+$BINT,,,,,,,,,,
,,,,,,,,angle,40+2*SLv,,,,,,,,,,
,,,,,,,,move_distance,"8+Math.max(0,SLv-5)",,,,,,,,,,
,,,,,,,,type,AOE,,,,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,,,,
,,,,,,,,effective_area,sector,,,,,,,,,,
,,,,,,,,ailment_name,逼退,,,,,,,,Knock Back,,逼退
,,,,,,,,ailment_chance,10*SLv,,,,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,,,action_frame,122~73,,,,,,,,,,
,,,,,,2,extra,caption,角色進入#[無敵]狀態，無敵狀態會持續到動作結束後1秒。,,,,,,,,,,角色进入#[无敌]状态，无敌状态会持续到动作结束后1秒。
,,,,,,,,condition,動作期間（詠唱完畢後才算）,,,,,,,,,,动作期间（咏唱完毕后才算）
,,,,,,,,,,,,,,,,,,,
,,,,,,-,text,text,施放此技能之前，每施放一次法術技能樹中的攻擊技能，都將疊加詠咒層數。施放此技能將消耗所有詠咒層數並觸發詠咒。,,,,,,,,"Before casting this skill, Each time you cast the skills in the Magic skill tree would accumulate Cast Level. Casting this skill consumes all of the Cast Levels and activates Accerlate Cast.",,施放此技能之前，每施放一次法术技能树中的攻击技能，都将叠加咏咒层数。施放此技能将消耗所有咏咒层数并触发咏咒。
,,,,,,,,mark,"詠咒層數,詠咒",,,,,,,,"Cast Level, Accerlate Cast",,"咏咒层数,咏咒"
,,,,,,-,stack,min,0,,,,,,,,,,
,,,,,,,,max,8,,,,,,,,,,
,,,,,,,,id,1,,,,,,,,,,
,,,,,,,,name,詠咒層數,,,,,,,,Cast Level,,咏咒层数
,,,,,,-,effect,caption,此技能之最終詠唱時間減少${stack}秒。,,,,,,,,This skill's final casting time reduces ${stack} second.,,此技能之最终咏唱时间减少${stack}秒。
,,,,,,,,condition,根據詠咒層數,,,,,,,,Base on Cast Level,,根据咏咒层数
,,,,,,,,type,none,,,,,,,,,,
,,,,,,,,name,詠咒,,,,,,,,Accerlate Cast,,咏咒
,,,,,,,,stack_id,1,,,,,,,,,,
,,,,,,-,tips,text,最終詠唱時間，意即計算會在cspd補正之後。,,,,,,,,"""Final casting time"" means the calculation goes after CSPD correction.",,最终咏唱时间，意即计算会在cspd补正之后。
,,,,,,-,list,text,詠咒層數的計算會在縮時詠唱之前。,,,,,,,,The calculation of Cast Level goes before the Chain Cast. ,,咏咒层数的计算会在缩时咏唱之前。
,,,,,,,,branch,詠咒層數,,,,,,,,Cast Level,,咏咒层数
,,,,,,,,skill,縮時詠唱,,,,,,,,Chain Cast,,缩时咏唱
,,,,,,-,list,text,詠咒層數的上限與CSPD有關，具體的說，其上限等於「能夠瞬發技能的最低需求層數」，用以令玩家知道甚麼時候可以瞬發。,,,,,,,,Gains #[Invincible] buff in a short time after casting.,,咏咒层数的上限与CSPD有关，具体的说，其上限等于「能够瞬发技能的最低需求层数」，用以令玩家知道什么时候可以瞬发。
,,,,,,,,mark,詠咒層數,,,,,,,,,,
,,,,,,-,list,text,目標體積越大，逼退距離越小。且Boss無法被逼退。,,,,,,,,"The bigger the target, the shorter they would be knocked back. Boss can't be knocked back.",,目标体积越大，逼退距离越小。且Boss无法被逼退。
,,,,,,-,tips,text,各屬性下的技能名稱,,,,,,,,,,各属性下的技能名称
,,,,,,-,group,size,1,,,,,,,,,,
,,,,,,-,list,text,無屬性｜法術/爆能 ｜,,,,,,,,,,无属性｜法术/爆能 ｜
,,,,,,-,list,text,火屬性｜地獄火｜,,,,,,,,,,火属性｜地狱火｜
,,,,,,-,list,text,水屬性｜永恆暴雪｜,,,,,,,,,,水属性｜永恒暴雪｜
,,,,,,-,list,text,地屬性｜重力扭轉｜,,,,,,,,,,地属性｜重力扭转｜
,,,,,,-,list,text,風屬性｜原能風暴｜,,,,,,,,,,风属性｜原能风暴｜
,,,,,,-,list,text,光屬性｜懲罰｜ ,,,,,,,,,,光属性｜惩罚｜ 
,,,,,,-,list,text,暗屬性｜暗蝕｜,,,,,,,,,,暗属性｜暗蚀｜
8,,非預設,魔導具,魔導具,,1,,multiplier,1500+60*SLv+$BINT*0.5,,,,,,,,,,
,,,,,,,,angle,40+SLv*2+Math.floor((SLv-1)/3)*5,,,,,,,,,,
,,,,,,,,move_distance,"8+Math.max(0,SLv-5)+Math.floor((SLv-1)/3)",,,,,,,,,,
8,,非預設,,,,1,,multiplier,1500+60*SLv,,,,,,,,,,
8,,歷史紀錄,0,2019/06/24,,1,,multiplier,1000+SLv*100,,,,,,,,,,
8,,歷史紀錄,0,2019/02/21,,1,,constant,200+SLv*10,,,,,,,,,,
8,,歷史紀錄,1,2019/06/24,,1,,multiplier,1000+SLv*50,,,,,,,,,,
8,,歷史紀錄,1,2019/02/21,,1,,constant,200+SLv*10,,,,,,,,,,
8,,歷史紀錄,2,2019/06/24,,1,,multiplier,1000+SLv*50,,,,,,,,,,
8,,歷史紀錄,2,2019/02/21,,1,,constant,200+SLv*10,,,,,,,,,,
8,,歷史紀錄,0,2024/04/18,,2,extra,caption,在1秒內，使受到的正面傷害變為miss，此效果可與#[無敵]狀態共存。,,,,,,,,,,
8,,歷史紀錄,1,2024/04/18,,2,extra,caption,在1秒內，使受到的正面傷害變為miss，此效果可與#[無敵]狀態共存。,,,,,,,,,,
8,,歷史紀錄,2,2024/04/18,,2,extra,caption,在1秒內，使受到的正面傷害變為miss，此效果可與#[無敵]狀態共存。,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
9,魔法要領,預設,法杖,,,-,passive,matk,Math.floor((SLv-3)/5)+2,%,,,被動,,,,,,
,,,,,,,,weapon_atk,SLv*3,%,,,,,,,,,
9,,非預設,魔導具,,,,,,,,,,,,,,,,
10,魔力充填,預設,法杖,,,1,heal,type,mp,,0,,須蓄力,不可放入連擊的第一招,一般,4.5-Math.floor((SLv-1)/3)*0.5,,,
,,,,,,,,constant,200+10*SLv,,,,,,,,,,
,,,,,,,,action_frame,111~66,,,,,,,,,,
,,,,,,2,text,text,此技能的詠唱時間可被詠唱速度縮短，縮短量最多1秒。,,,,,,,,"This skill 's casting time could be affected by CSPD, at most 1 second.",,此技能的咏唱时间可被咏唱速度缩短，缩短量最多1秒。
,,,,,,-,tips,text,此效果僅可縮短詠唱時間，若詠唱速度為負也不會使時間變長。,,,,,,,,The casting time won't be lengthen if the CSPD is negative.,,此效果仅可缩短咏唱时间，若咏唱速度为负也不会使时间变长。
10,,非預設,魔導具,魔導具,,1,,constant,250+10*SLv,,,,,,,6-Math.floor((SLv-1)/3)*2/3,,,
10,,非預設,,,,1,,constant,200+10*SLv,,,,,,,9-Math.floor((SLv-1)/3),,,
10,,歷史紀錄,0,2019/06/24,,-,text,text,追加：此技能的詠唱時間可被詠唱速度縮短，縮短量最多1秒。,,,,,,,,,,追加：此技能的咏唱时间可被咏唱速度缩短，缩短量最多1秒。
,,,,,,2,,text,此技能的詠唱時間不受詠唱速度影響。,,,,,,,,,,此技能的咏唱时间不受咏唱速度影响。
10,,歷史紀錄,1,2019/06/24,,-,text,text,追加：此技能的詠唱時間可被詠唱速度縮短，縮短量最多1秒。,,,,,,,,,,追加：此技能的咏唱时间可被咏唱速度缩短，缩短量最多1秒。
,,,,,,2,,text,此技能的詠唱時間不受詠唱速度影響。,,,,,,,,,,此技能的咏唱时间不受咏唱速度影响。
10,,歷史紀錄,2,2019/06/24,,-,text,text,追加：此技能的詠唱時間可被詠唱速度縮短，縮短量最多1秒。,,,,,,,,,,追加：此技能的咏唱时间可被咏唱速度缩短，缩短量最多1秒。
,,,,,,2,,text,此技能的詠唱時間不受詠唱速度影響。,,,,,,,,,,此技能的咏唱时间不受咏唱速度影响。
11,縮時詠唱,預設,法杖,,,-,text,text,使施放「法術/飛箭」後，能獲得省略詠唱狀態。,,,,被動,,,,Gains buff: Omit Cast after casting Magic: Arrow.,,使施放「法术/飞箭」后，能获得省略咏唱状态。
,,,,,,,,skill,法術/飛箭,,,,,,,,Magic: Arrow,,法术/飞箭
,,,,,,,,mark,省略詠唱,,,,,,,,Omit Cast,,省略咏唱
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,-,next,name,省略詠唱,,,,,,,,Omit Cast,,省略咏唱
