名稱,外框,文字,名稱（英文）,文字,名稱(日文),文字,名稱（簡體中文）,文字
,list,例如，若有一連擊「技能A→技能B(連擊)→技能C→技能D(連擊)」，則技能B消耗MP-((!100))並-((!10%))威力、技能D消耗MP-((!300))並-((!20%))威力。,,,,,,例如，若有一连击「技能A→技能B(连击)→技能C→技能D(连击)」，则技能B消耗MP-((!100))并-((!10%))威力、技能D消耗MP-((!300))并-((!20%))威力。
心眼,category,連擊效果,Mind's Eye,,,,心眼,连击效果
,caption,若目標正處於該技能即將附加的異常狀態之抗性時間內，則整套連擊將中斷於該技能。,,,,,,若目标正处于该技能即将附加的异常状态之抗性时间内，则整套连击将中断于该技能。
,list,此外，該技能#[命中等級判定]時，最低保證#[Graze]，並給予該技能((連擊位置×10))%的((!絕對命中))屬性，與裝備的((!絕對命中))屬性疊加。,,,,,,此外，该技能#[命中等级判定]时，最低保证#[Graze]，并给予该技能((连击位置×10))%的((!绝对命中))属性，与装备的((!绝对命中))属性叠加。
,,但自身處於#[閃光]狀態時，保證Graze將被無效。,,,,,,但自身处于#[闪光]状态时，保证Graze将被无效。
,,,,,,,,
補位,category,連擊效果,Save,,,,,连击效果
,caption,補位的該招技能不消耗MP，而原本應該會消耗的MP會儲存下來變為「((!保存MP))」，供後面的技能使用。但若施放連擊中最後一招後((!保存MP))未使用完畢，則剩餘的部分會轉而扣減自身MP。,,,,,,补位的该招技能不消耗MP，而原本应该会消耗的MP会储存下来变为「((!保存MP))」，供后面的技能使用。但若施放连击中最后一招后((!保存MP))未使用完毕，则剩余的部分会转而扣减自身MP。
,list,補位的該招技能威力((!-80%))，且會影響連擊後續技能的威力，下一招技能威力((!-60%))、下下招技能威力((!-40%))，以此類推，4個技能後才可解除威力懲罰。,,,,,,补位的该招技能威力((!-80%))，且会影响连击后续技能的威力，下一招技能威力((!-60%))、下下招技能威力((!-40%))，以此类推，4个技能后才可解除威力惩罚。
,,若一個連擊中存在多個技能使用「((!補位))」，則((!保存MP))與威力懲罰將由後發動者覆蓋先發動者。,,,,,,若一个连击中存在多个技能使用「((!补位))」，则((!保存MP))与威力惩罚将由后发动者覆盖先发动者。
,,僅有連擊中的最後一個技能成功發動時，才會進行((!保存MP))的剩餘量判定，若連擊因故提前結束，無論((!保存MP))剩餘多少都不會扣減自身MP。,,,,,,仅有连击中的最后一个技能成功发动时，才会进行((!保存MP))的剩余量判定，若连击因故提前结束，无论((!保存MP))剩余多少都不会扣减自身MP。
迅速,category,連擊效果,Swift,,,,,连击效果
,caption,該技能行動速度變為最大值((!50%))（僅對受行動速度影響的技能有效）。,,,,,,该技能行动速度变为最大值((!50%))（仅对受行动速度影响的技能有效）。
增幅,category,連擊效果,Smite,,,,,连击效果
,caption,該技能傷害((!+50%))，並使連擊中的下一招技能傷害((!-50%))；若是沒有下一招技能，則此技能消耗MP加倍。,,,,,,该技能伤害((!+50%))，并使连击中的下一招技能伤害((!-50%))；若是没有下一招技能，则此技能消耗MP加倍。
,list,僅有連擊中的((!最後一個技能))才會進行MP加倍的判定，若連擊因故提前結束，實際施放出的最後一個技能使用((!增幅))的MP消耗也不會加倍。,,,,,,
執著,category,連擊效果,Tenacity,,,,,连击效果
,caption,若自身剩餘MP不足以施放該技能，可犧牲HP來施放。每缺少100MP，消耗最大HP的((!10%))。,,,,,,若自身剩余MP不足以施放该技能，可牺牲HP来施放。每缺少100MP，消耗最大HP的((!10%))。
無敵（連擊效果）,category,連擊效果,Invincible,,,,,连击效果
,caption,有((20×(連擊位置-1))%的機率，可在技能的((!動作期間))進入#無敵 狀態。,,,,,,有((20×(连击位置-1))%的机率，可在技能的((!动作期间))进入#无敌 状态。
,list,當一個連擊中存在多次此效果時，只有第一個有效，第二次以後的無敵發動機率皆為0%。,,,,,,当一个连击中存在多次此效果时，只有第一个有效，第二次以后的无敌发动机率皆为0%。
,,僅有((!動作期間))無敵，詠唱/蓄力時無效。,,,,,,仅有((!动作期间))无敌，咏唱/蓄力时无效。
吸血,category,連擊效果,Bloodsucker,,,,,连击效果
,caption,依據技能傷害量回復自身HP。此外給予自身10秒的((!血氣))效果，((!血氣))狀態期間若再次發動此連擊效果，則改為消耗HP提高技能威力。,,,,,,依据技能伤害量回复自身HP。此外给予自身10秒的((!血气))效果，((!血气))状态期间若再次发动此连击效果，则改为消耗HP提高技能威力。
,list,回復自身HP量=((造成傷害×(10+連擊位置)%))。,,,,,,回复自身HP量=((造成伤害×(10+连击位置)%))。
,,((!血氣))：損耗((最大HP×(10-連擊位置) ))%的HP，提升技能((10+連擊位置))%的傷害。,((!Sap))：Consumes((MaxHP×(10-Combo Position)%))HP，Increased skill damage for((10+Combo Position))%。,,,,,((!血气))：损耗((最大HP×(10-连击位置) ))%的HP，提升技能((10+连击位置))%的伤害。
,,若技能傷害是((!分開判定))的多段式傷害，則((!吸血))的回復HP效果只看第一次造成的傷害。,,,,,,若技能伤害是((!分开判定))的多段式伤害，则((!吸血))的回复HP效果只看第一次造成的伤害。
強韌,category,連擊效果,Tough,,,,,连击效果
,caption,該技能與連擊內的下一招技能，動作時間內所受傷害降低((!50%))，但若下一招技能仍使用強韌，減傷效果將不疊加。,,,,,,该技能与连击内的下一招技能，动作时间内所受伤害降低((!50%))，但若下一招技能仍使用强韧，减伤效果将不叠加。
反射,category,連擊效果,Reflection,,,,,连击效果
,caption,技能動作期間若受到傷害，對目標造成最多一次的普通攻擊；若未受到傷害，連擊內下一招技能消耗MP-100。,,,,,,技能动作期间若受到伤害，对目标造成最多一次的普通攻击；若未受到伤害，连击内下一招技能消耗MP-100。
,list,該普通攻擊將正常造成慣性與攻擊MP回復。,,,,,,该普通攻击将正常造成惯性与攻击MP回复。
連擊位置,category,名詞說明,Combo Position,,,,,名词说明
,caption,包含起始技，該技能於連擊中是第N個技能，((!連擊位置))=N。,,,,,,包含起始技，该技能于连击中是第N个技能，((!连击位置))=N。
雙劍特性說明,category,技能樹補充說明,Dual Swords Characteristics Description,,,,双剑特性说明,技能树补充说明
,caption,習得((!雙劍要領))後，角色將可裝備兩把單手劍成為雙劍職業，角色會獲得以下特性：,,,,,,习得((!双剑要领))后，角色将可装备两把单手剑成为双剑职业，角色会获得以下特性：
,list,裝備雙劍時，命中((!-55%))、暴擊率((!-55%))。可通過技能((!雙劍要領))與((!雙劍鍛鍊))抵銷副作用。,,,,,,装备双剑时，命中((!-55%))、暴击率((!-55%))。可通过技能((!双剑要领))与((!双剑锻炼))抵销副作用。
,,雙劍擁有((!副手攻擊力))，此能力不顯示於角色面板。((!副手攻擊力))的基礎值為：((角色AGI×3+角色STR+武器ATK))，其中武器ATK的精鍊加成部分將減半計算。,,,,,,双剑拥有((!副手攻击力))，此能力不显示于角色面板。 ((!副手攻击力))的基础值为：((角色AGI×3+角色STR+武器ATK))，其中武器ATK的精炼加成部分将减半计算。
,,使用雙劍技能時，角色ATK將變更為如下公式：((主手ATK+副手ATK×副手倍率))，其中((!副手倍率))為((副手武器穩定÷2+裝備穩定加成+角色STR×6%+角色AGI×4%))。,,,,,,使用双剑技能时，角色ATK将变更为如下公式：((主手ATK+副手ATK×副手倍率))，其中((!副手倍率))为((副手武器稳定÷2+装备稳定加成+角色STR×6%+角色AGI×4%))。
,,((!副手攻擊力))僅在使用((!雙劍技能樹))內的技能時有效，其他技能將只計算主手攻擊力、同時元素屬性也僅有主手有效。,,,,,,((!副手攻击力))仅在使用((!双剑技能树))内的技能时有效，其他技能将只计算主手攻击力、同时元素属性也仅有主手有效。
,,裝備於副手的單手劍的裝備能力，僅有((!元素屬性))有效。但普通攻擊或使用非固定屬性的技能時，((!元素屬性))將與主手相同，僅有帶有((!雙重屬性))的技能，會在技能屬性與副手武器屬性間取較優者生效。,,,,,,装备于副手的单手剑的装备能力，仅有((!元素属性))有效。但普通攻击或使用非固定属性的技能时，((!元素属性))将与主手相同，仅有带有((!双重属性))的技能，会在技能属性与副手武器属性间取较优者生效。
,,雙劍普通攻擊時，總((!攻擊MP回復))會加倍，代價則是比其他武器更久的普通攻擊動作。,,,,,,双剑普通攻击时，总((!攻击MP回复))会加倍，代价则是比其他武器更久的普通攻击动作。
吟遊詩人說明,category,技能樹補充說明,,,,,吟游诗人说明,技能树补充说明
,caption,詩人技能樹的技能，除了((!即興演出))外，皆適用此條目說明，以下稱之為((!詩歌技能))。,,,,,,诗人技能树的技能，除了((!即兴演出))外，皆适用此条目说明，以下称之为((!诗歌技能))。
,list,((!詩歌技能))效果皆為全隊都可享有。,,,,,,((!诗歌技能))效果皆为全队都可享有。
,,"2026/2/12更新
現在無須疊層，當持續使用詩歌技能一段時間後，效果變更為永久效果，稱為((!感音增益))。",,,,,,"2026/2/12更新
现在无须叠层，当持续使用诗歌技能一段时间后，效果变更为永久效果，称为((!感音增益))。"
,,詩人技能的影響範圍皆為半徑((!24m))。但轉化為感音增益後，隊友只要走進影響範圍即可永久獲得詩人技能提供的狀態，即使之後離開影響範圍。,,,,,,
,,((!詩歌技能))轉換為((!感音增益))所需時間為：((5+4*當前感音增益曲目數))秒。,,,,,,((!诗歌技能))转换为((!感音增益))所需时间为：((5+4*当前感音增益曲目数))秒。
,,((!詩歌技能))內的所有技能，MP消耗會增加((當前感音增益曲目數*100))。,,,,,,((!诗歌技能))内的所有技能，MP消耗会增加((当前感音增益曲目数*100))。
,,((!詩歌技能))施放後，僅可以緩慢移動（移動速度-50%），期間若進行普攻、施放其他技能（((!即興演出))除外）、遭怪物攻擊，皆會中斷技能演奏。,,,,,,((!诗歌技能))施放后，仅可以缓慢移动（移动速度-50%），期间若进行普攻、施放其他技能（((!即兴演出))除外）、遭怪物攻击，皆会中断技能演奏。
,,技能演奏一旦中斷，會失去效果並停止((!感音增益))時間計算，但狀態圖示仍會留存10秒，期間可使用((!即興演出))重啟演奏，回復至中斷前時間累計。,,,,,,技能演奏一旦中断，会失去效果并停止((!感音增益))时间计算，但状态图示仍会留存10秒，期间可使用((!即兴演出))重启演奏，回复至中断前时间累计。
,,演奏時的吉他顏色，與裝備的主手武器之屬性有關。,,,,,,演奏时的吉他颜色，与装备的主手武器之属性有关。
,,當隊伍中有多名玩家同時提供相同的詩人技能增益時，會以技能等級較高的為主；但若該詩人技能有施術者懲罰，則會以被懲罰後的效果為主。,,,,,,当队伍中有多名玩家同时提供相同的诗人技能增益时，会以技能等级较高的为主；但若该诗人技能有施术者惩罚，则会以被惩罚后的效果为主。
舞者技能說明,category,技能樹補充說明,,,,,舞者技能说明,技能树补充说明
,caption,舞者技能樹的技能，除((!優雅架勢))與((!風花雪月))之外，以下稱之為((!舞蹈技能))，適用此條目說明。,,,,,,舞者技能树的技能，除((!优雅架势))与((!风花雪月))之外，以下称之为((!舞蹈技能))，适用此条目说明。
,list,((!舞蹈技能))會使敵人弱化（((!援助之舞))除外），持續時間皆為15秒。,,,,,,((!舞蹈技能))会使敌人弱化（((!援助之舞))除外），持续时间皆为15秒。
,,初次施放技能時層數皆為5，若在剩餘時間為((!0~5秒))時再次使用相同技能，層數會上升；在((!5秒以上))時再次施放，層數反而會下降。,,,,,,初次施放技能时层数皆为5，若在剩余时间为((!0~5秒))时再次使用相同技能，层数会上升；在((!5秒以上))时再次施放，层数反而会下降。
,,不同的((!舞蹈技能))效果可共存，但超過2個舞蹈存在時，所有((!舞蹈技能))的層數上限皆會減少((共存技能數-1))層。,,,,,,不同的((!舞蹈技能))效果可共存，但超过2个舞蹈存在时，所有((!舞蹈技能))的层数上限皆会减少((共存技能数-1))层。
,,裝備#雷吉斯托環 「簡短舞步」：使所有((!舞蹈技能))的持續時間縮短5秒（((!援助之舞))除外），可視為疊層間隔由最少10秒縮短為5秒。,,,,,,装备#雷吉斯托环 「简短舞步」：使所有((!舞蹈技能))的持续时间缩短5秒（((!援助之舞))除外），可视为叠层间隔由最少10秒缩短为5秒。
徒手技能說明,category,技能樹補充說明,,,,,徒手技能说明,技能树补充说明
,caption,徒手戰鬥技能樹內的技能皆適用此說明。其中需要消耗氣功者，稱之為((!氣功技能))。,,,,,,徒手战斗技能树内的技能皆适用此说明。其中需要消耗气功者，称之为((!气功技能))。
,list,((!徒手戰鬥))技能樹內所有技能皆要求完全空手，即使是副手也不可持裝備。若在持有氣功的狀態下裝備武器，會使氣功層數歸0。,,,,,,((!徒手战斗))技能树内所有技能皆要求完全空手，即使是副手也不可持装备。若在持有气功的状态下装备武器，会使气功层数归0。
,,氣功可通過((!聚氣功))或切換不同的((!氣功技能))獲得，上限量與((!徒手戰鬥要領))的等級有關。,,,,,,气功可通过((!聚气功))或切换不同的((!气功技能))获得，上限量与((!徒手战斗要领))的等级有关。
,,氣功的存在時間為10分鐘，施放((!聚氣功))會重置時間、不重置層數。,,,,,,气功的存在时间为10分钟，施放((!聚气功))会重置时间、不重置层数。
,,((!氣功技能))消耗當前氣功，使自己獲得能力強化。單次技能氣功消耗量上限為10，當前氣功不足10則全部消耗。,,,,,,((!气功技能))消耗当前气功，使自己获得能力强化。单次技能气功消耗量上限为10，当前气功不足10则全部消耗。
,,只能擁有一種((!氣功技能))效果，施放第二種時，第一種的效果會消失，並獲得一定層數的額外氣功。,,,,,,只能拥有一种((!气功技能))效果，施放第二种时，第一种的效果会消失，并获得一定层数的额外气功。
,,使用非徒手技能樹內的技能時，會使當前氣功的層數損耗((!20%))（至少損失1層），可通過((!聚氣功．極))來減輕。,,,,,,使用非徒手技能树内的技能时，会使当前气功的层数损耗((!20%))（至少损失1层），可通过((!聚气功．极))来减轻。
,,((!氣功技能))的技能特效會產生靈氣圍繞角色全身，不同技能的靈氣顏色不同。,,,,,,((!气功技能))的技能特效会产生灵气围绕角色全身，不同技能的灵气颜色不同。
忍術技能,category,技能樹補充說明,,,,,忍术技能,技能树补充说明
,caption,學習忍者技能後可施放的一類技能，通過使用技能((!忍術))隨機施放一種，或裝備((!卷軸))以使用特定的忍術技能。,,,,,,学习忍者技能后可施放的一​​类技能，通过使用技能((!忍术))随机施放一种，或装备((!卷轴))以使用特定的忍术技能。
,list,忍術技能的技能等級將等同於技能「((!忍術))」的技能等級。,,,,,,忍术技能的技能等级将等同于技能「((!忍术))」的技能等级。
,,技能「((!忍術))」可以被任意職業施展，但卷軸僅可以被空手、單手劍、法杖、魔導具、拔刀劍，作為副手武器裝備。,,,,,,技能「((!忍术))」可以被任意职业施展，但卷轴仅可以被空手、单手剑、法杖、魔导具、拔刀剑，作为副手武器装备。
陷阱,category,技能樹補充說明,,,,,陷阱,技能树补充说明
,caption,狩獵技能內的陷阱類技能，皆適用此條目說明。,,,,,,狩猎技能内的陷阱类技能，皆适用此条目说明。
,list,陷阱類技能會在動作完畢後放置在角色腳下，當敵人進入AOE攻擊範圍後造成一次性的攻擊。,,,,,,陷阱类技能会在动作完毕后放置在角色脚下，当敌人进入AOE攻击范围后造成一次性的攻击。
,,陷阱無法在有任何敵人處於引爆範圍內時進行設置。,,,,,,陷阱无法在有任何敌人处于引爆范围内时进行设置。
,,同樣的陷阱同時只能存在一個，放置第二個時，第一個會消失。,,,,,,同样的陷阱同时只能存在一个，放置第二个时，第一个会消失。
,,陷阱的存在時間為((!30秒))。,,,,,,陷阱的存在时间为((!30秒))。
,,放置陷阱時若按著移動方向鍵，放置後角色會朝該方向滾動一小段距離。,,,,,,放置陷阱时若按着移动方向键，放置后角色会朝该方向滚动一小段距离。
,,「會受範圍攻擊破壞」的特性，已於2019/06/24後移除。,,,,,,「会受范围攻击破坏」的特性，已于2019/06/24后移除。
卷軸製作說明,category,EX技能說明,,,,,卷轴制作说明,EX技能说明
,caption,學習技能((!忍術))後，將可獲得製作卷軸的能力，可將三種不同種類的武器合成為卷軸。,,,,,,学习技能((!忍术))后，将可获得制作卷轴的能力，可将三种不同种类的武器合成为卷轴。
,list,作為材料的武器，獲取方式中必須擁有((!鐵匠鋪版本))，不可為純掉落型武器。,,,,,,作为材料的武器，获取方式中必须拥有((!铁匠铺版本))，不可为纯掉落型武器。
,,作為材料的武器不能被((!強化裝備))強化過（不能是帶有附魔的武器）。,,,,,,作为材料的武器不能被((!强化装备))强化过（不能是带有附魔的武器）。
,,選定材料後，會顯示出預計合成卷軸的名稱，該結果僅受材料中前兩項((!武器的種類))影響。,,,,,,选定材料后，会显示出预计合成卷轴的名称，该结果仅受材料中前两项((!武器的种类))影响。
,,預覽的卷軸種類不一定就是最終的合成結果。,,,,,,预览的卷轴种类不一定就是最终的合成结果。
,,製作出的卷軸的ATK，受材料武器的((!武器鍛造等級))影響。(亦可能是受基礎潛力/難易度影響，尚無法確認),,,,,,制作出的卷轴的ATK，受材料武器的((!武器锻造等级))影响。 (亦可能是受基础潜力/难易度影响，尚无法确认)
,,承上，製作出的卷軸ATK上限為((角色等級×1.25))。若依據((!武器等級))計算出的「((!應得ATK))」大於上限值，則最終成品的卷軸ATK必然等同於上限；若低於上限值，則成品卷軸ATK會在((!應得ATK))與上限值之間隨機產生。,,,,,,承上，制作出的卷轴ATK上限为((角色等级×1.25))。若依据((!武器等级))计算出的「((!应得ATK))」大于上限值，则最终成品的卷轴ATK必然等同于上限；若低于上限值，则成品卷轴ATK会在((!应得ATK))与上限值之间随机产生。
,,卷軸的裝備頁面上，原先為穩定率的地方會被兩個數字取代，第一個數字為：施展卷軸上的技能時可((!節約的MP格數))，例如3即卷軸技能((!耗MP-300))；第二個數字為：((!減少最終詠唱時間))的數值（在CSPD之後計算），如0.2即((!最終詠唱時間-0.2秒))。,,,,,,卷轴的装备页面上，原先为稳定率的地方会被两个数字取代，第一个数字为：施展卷轴上的技能时可((!节约的MP格数))，例如3即卷轴技能((!耗MP-300))；第二个数字为：((!减少最终咏唱时间))的数值（在CSPD之后计算），如0.2即((!最终咏唱时间-0.2秒))。
合成裝備的成功率說明,category,EX技能說明,,,,,合成装备的成功率说明,EX技能说明
,caption,學習技能((!合成裝備))後，可將兩件裝備的外觀、染色、屬性進行合成，合成成功率會因為鎖定的部位數而下降。,,,,,,学习技能((!合成装备))后，可将两件装备的外观、染色、属性进行合成，合成成功率会因为锁定的部位数而下降。
,list,合成裝備的基礎成功率為((50+角色TEC×2+技能提供之基礎值))%，衰弱率依鎖定部位數，由1~5依序是((!1、0.5、0.25、0.125、0.08))。,,,,,,合成装备的基础成功率为((50+角色TEC×2+技能提供之基础值))%，衰弱率依锁定部位数，由1~5依序是((!1、0.5、0.25、0.125、0.08))。
,,最終成功率為((基礎成功率×衰弱率))%。,,,,,,最终成功率为((基础成功率×衰弱率))%。
,,合成裝備失敗時，會導致各部位的鎖定失效，而變成沒鎖定時的隨機選取。,,,,,,合成装备失败时，会导致各部位的锁定失效，而变成没锁定时的随机选取。
,,技能((!合成裝備))及((!合成技術加強Ⅰ、Ⅱ))提升的成功率是直接加上去。例如：基礎成功率原本為50%，基礎成功率+10%後，基礎成功率變為60%。,,,,,,技能((!合成装备))及((!合成技术加强Ⅰ、Ⅱ))提升的成功率是直接加上去。例如：基础成功率原本为50%，基础成功率+10%后，基础成功率变为60%。
,,TEC為255、鎖定部位數為3個以內(含)時，成功率皆超過100%，無須透過技能來提升。,,,,,,TEC为255、锁定部位数为3个以内(含)时，成功率皆超过100%，无须透过技能来提升。
,,TEC為255，鎖定部位數4時，((!合成裝備))及((!合成技術加強Ⅰ、Ⅱ))分別點至5、5、6級，即可達到100%最終成功率。,,,,,,TEC为255，锁定部位数4时，((!合成装备))及((!合成技术加强Ⅰ、Ⅱ))分别点至5、5、6级，即可达到100%最终成功率。
MP消耗減半,category,效果,MP cost halves,,,,MP消耗减半,效果
,caption,使用技能的MP消耗除以二。,,,,,,使用技能的MP消耗除以二。
,list,以((!消耗MP格數))為單位做減半，剩餘的小數無條件進位。如：4格變2格、3格變2格、2格變1格。,,,,,,以((!消耗MP格数))为单位做减半，剩余的小数无条件进位。如：4格变2格、3格变2格、2格变1格。
,,置於連擊中時，先計算該效果，之後才計算連擊效果；受到#[衰弱]狀態時，((!衰弱))為最後計算。,,,,,,置于连击中时，先计算该效果，之后才计算连击效果；受到#[衰弱]状态时，((!衰弱))为最后计算。
,,若未特別說明，施展任意技能後此效果即結束，即使施放不消耗MP的技能亦是。,,,,,,若未特别说明，施展任意技能后此效果即结束，即使施放不消耗MP的技能亦是。
即死,category,效果,Immediate Kill,,,,即死,效果
,caption,對目標造成999999999點傷害。,,,,,,对目标造成999999999点伤害。
保底命中,category,名詞說明,,,,,,名词说明
,caption,遊戲針對各武器設置不同的保底命中，能在MISS時有機率將判定改為Graze，判定方式見#[命中等級判定]。,,,,,,游戏针对各武器设置不同的保底命中，能在MISS时有机率将判定改为Graze，判定方式见#[命中等级判定]。
,list,"各武器的((!保底命中率))：
<br>空手:50%
<br>杖:30%
<br>拔刀劍:30%
<br>單手劍:25%
<br>旋風槍:20%
<br>雙手劍:15%
<br>魔導具:10%
<br>拳套:10%
<br>弓:10%
<br>弩:5%",,,,,,"各武器的((!保底命中率))：
<br>空手:50%
<br>杖:30%
<br>拔刀剑:30%
<br>单手剑:25%
<br>旋风枪:20%
<br>双手剑:15%
<br>魔导具:10%
<br>拳套:10%
<br>弓:10%
<br>弩:5%"
,,((!保底命中率))的判定順位在最後，因此若該傷害有暴擊，此判定就不會執行。,,,,,,((!保底命中率))的判定顺位在最后，因此若该伤害有暴击，此判定就不会执行。
,,除非目標處於#[閃光]狀態，則保底命中會參與到計算命中率的判定，詳情見#[命中等級判定]。,,,,,,除非目标处于#[闪光]状态，则保底命中会参与到计算命中率的判定，详情见#[命中等级判定]。
Graze,category,名詞說明,Graze,,,,,名词说明
,caption,中文譯為((!擦傷))，當該次傷害命中判定為MISS（未命中），但由於觸發((!保底命中))或((!暴擊))而強制命中時，該次傷害最終判定為Graze。,,,,,,中文译为((!擦伤))，当该次伤害命中判定为MISS（未命中），但由于触发((!保底命中))或((!暴击))而强制命中时，该次伤害最终判定为Graze。
,list,Graze會導致((!最終穩定率÷2))，此計算在穩定率上限計算之後，亦即計算時原始穩定最高為100。,,,,,,Graze会导致((!最终稳定率÷2))，此计算在稳定率上限计算之后，亦即计算时原始稳定最高为100。
,,技能「((!穩定術))」可緩和Graze所造成的穩定率下降，據測試((!最終穩定率))應是擦傷後計算得出的穩定再×1.5。,,,,,,技能「((!稳定术))」可缓和Graze所造成的稳定率下降，据测试((!最终稳定率))应是擦伤后计算得出的稳定再×1.5。
,,((!穩定術))作用後的((!最終穩定率))可能帶有小數點，此狀況下傷害浮動似乎將不以1%為間距，尚須更多測試。,,,,,,((!稳定术))作用后的((!最终稳定率))可能带有小数点，此状况下伤害浮动似乎将不以1%为间距，尚须更多测试。
必定命中,category,效果,Perfect Aim,Effect,,,必定命中,效果
,caption,帶有此效果的技能擊中怪物時，必定不會發生((!MISS))與#[Graze]。,,"When the skill with this effect hits a enemy, it will definitely not happen ((!MISS)) and #Graze .",,,,带有此效果的技能击中怪物时，必定不会发生((!MISS))与#[Graze]。
,list,但仍舊會發生閃躲、#無敵 。,,Evasion and #invincible  will still occur.,,,,但仍旧会发生闪躲、#无敌 。
,,此效果可無視#[閃光]的影響。,,,,,,
必定暴擊,category,效果,,,,,必定暴击,效果
,caption,此傷害必定造成暴擊，暴擊將取消((!MISS))判定並改為黃字#[Graze]。,,,,,,此伤害必定造成暴击，暴击将取消((!MISS))判定并改为黄字#[Graze]。
,list,此效果優先度高於怪物的((!暴擊抵抗))能力，目前已知的所有抗暴王皆無法阻止此效果造成的暴擊。,,,,,,此效果优先度高于怪物的((!暴击抵抗))能力，目前已知的所有抗暴王皆无法阻止此效果造成的暴击。
,,但異常狀態#[閃光]施加在玩家身上時，由於其效果，((!必定暴擊))可能因此被改判定為MISS從而被無效化。詳情見#[命中等級判定]。,,,,,,但异常状态#[闪光]施加在玩家身上时，由于其效果，((!必定暴击))可能因此被改判定为MISS从而被无效化。详情见#[命中等级判定]。
,,((!傭兵))通常不具有暴擊能力，但使用帶有此效果的技能時為例外，將可造成暴擊且必定不((!MISS))。,,,,,,((!佣兵))通常不具有暴击能力，但使用带有此效果的技能时为例外，将可造成暴击且必定不((!MISS))。
雙重屬性,category,效果,,,,,双重属性,效果
,caption,帶有此效果的技能，會在技能本身帶有的屬性，與武器屬性(通常是副手武器)間，選取較優者作為傷害屬性。,,,,,,带有此效果的技能，会在技能本身带有的属性，与武器属性(通常是副手武器)间，选取较优者作为伤害属性。
,list,((!雙劍技能))中的((!雙重屬性（單手劍）))，指的是裝備在副手的單手劍屬性。主手武器屬性在此效果上無效，但相反的，其他非((!雙重屬性))的技能則只有主手屬性有效。,,,,,,((!双剑技能))中的((!双重属性（单手剑）))，指的是装备在副手的单手剑属性。主手武器属性在此效果上无效，但相反的，其他非((!双重属性))的技能则只有主手属性有效。
,,對於技能((!元素所及))的雙重屬性（主手武器）效果，則上述的「技能本身帶有的屬性」會以((!箭矢屬性))替代。（本質是技能屬性優先跟隨((!箭矢屬性))，參見#[元素屬性判定]）,,,,,,
仇恨值/恨意值,category,戰鬥系統說明,,,,,仇恨值/恨意值,战斗系统说明
,caption,怪物將鎖定隊伍中((!恨意))累積最高者作為目標，((!仇恨目標))的控制為組隊挑戰強大怪物時的關鍵，但由於玩家無法得知((!恨意值))的準確數值，許多方面尚難以釐清，以下說明皆可能有誤。,,,,,,怪物将锁定队伍中((!恨意))累积最高者作为目标，((!仇恨目标))的控制为组队挑战强大怪物时的关键，但由于玩家无法得知((!恨意值))的准确数值，许多方面尚难以厘清，以下说明皆可能有误。
,list,目前恨意值有兩種單位：((!民間單位))與((!官方單位))。在((!民間單位))中，消耗1點MP造成1點恨意；((!官方單位))中，消耗1點MP造成10點恨意。在此處的說明皆採用((!民間單位))。,,,,,,目前恨意值有两种单位：((!民间单位))与((!官方单位))。在((!民间单位))中，消耗1点MP造成1点恨意；((!官方单位))中，消耗1点MP造成10点恨意。在此处的说明皆采用((!民间单位))。
,,一般狀況下，每次普通攻擊造成10恨意、使用技能時，無論命中與否，每100((!基礎MP消耗))造成100恨意。,,,,,,一般状况下，每次普通攻击造成10恨意、使用技能时，无论命中与否，每100((!基础MP消耗))造成100恨意。
,,對於定點王，最初行動的目標將造成((!初始恨意))，若最初使用指向性行動（普攻、攻擊技能等），造成200((!初始恨意))，否則造成50((!初始恨意))，此項恨意不受恨意值增減效果的影響。,,,,,,对于定点王，最初行动的目标将造成((!初始恨意))，若最初使用指向性行动（普攻、攻击技能等），造成200((!初始恨意))，否则造成50((!初始恨意))，此项恨意不受恨意值增减效果的影响。
,,當怪物轉移仇恨目標時，轉移後的目標將額外產生((200+導致仇恨轉移的技能的基礎消耗MP×0.2))的恨意值，若並非以技能導致的，則僅造成200恨意值。此項恨意不受恨意值增減效果的影響。,,,,,,当怪物转移仇恨目标时，转移后的目标将额外产生((200+导致仇恨转移的技能的基础消耗MP×0.2))的恨意值，若并非以技能导致的，则仅造成200恨意值。此项恨意不受恨意值增减效果的影响。
,,在((!一般地圖))上，恨意值需要怪物認定你「((!進入與他的戰鬥))」時，才開始累計。進入的方法包括對其((!造成傷害))、使用((!團隊狀態))技能。（換句話說，若未先用上述方法建立初次恨意，即使用再多次的其他技能都無法吸引恨意）,,,,,,在((!一般地图))上，恨意值需要怪物认定你「((!进入与他的战斗))」时，才开始累计。进入的方法包括对其((!造成伤害))、使用((!团队状态))技能。 （换句话说，若未先用上述方法建立初次恨意，即使用再多次的其他技能都无法吸引恨意）
,,但在((!定點王))生成的地圖裡，只要你進行任意行動（使用道具、施放技能等），就會開始累積恨意值。,,,,,,但在((!定点王))生成的地图里，只要你进行任意行动（使用道具、施放技能等），就会开始累积恨意值。
